theIndex,GeocoderAddress,GeocoderCountry,GeocoderState,GeocoderCity,GeocoderX,GeocoderY,CityCountyScale,Url,Date
19167,"North Carolina, United States",United States,North Carolina,,-79.0392919,35.6729639,False,http://twitter.com/NCCE_McDowell/statuses/1167157077749436416,2019-08-29 19:28:26
19167,"Haywood County, North Carolina, United States",United States,North Carolina,,-82.9907823,35.5456202,True,http://twitter.com/NCCE_McDowell/statuses/1167157077749436416,2019-08-29 19:28:26
19244,"North Carolina, United States",United States,North Carolina,,-79.0392919,35.6729639,False,http://twitter.com/MeadowsLab/statuses/1166316569712111617,2019-08-27 11:48:33
19244,"Haywood County, North Carolina, United States",United States,North Carolina,,-82.9907823,35.5456202,True,http://twitter.com/MeadowsLab/statuses/1166316569712111617,2019-08-27 11:48:33
19267,United States,United States,,,-100.445882,39.7837304,False,http://twitter.com/SpudSmartMag/statuses/1165988536098729984,2019-08-26 14:05:04
19267,"Canada Saddle, Idaho County, Idaho, United States",United States,Idaho,,-115.803237,45.399565,True,http://twitter.com/SpudSmartMag/statuses/1165988536098729984,2019-08-26 14:05:04
19368,"Canada Saddle, Idaho County, Idaho, United States",United States,Idaho,,-115.803237,45.399565,True,http://twitter.com/potatonewstoday/statuses/1163910063444189184,2019-08-20 20:25:58
19378,"City of Edinburgh, Alba / Scotland, United Kingdom",United Kingdom,Alba / Scotland,City of Edinburgh,-3.1883749,55.9533456,True,http://twitter.com/BotanicsStories/statuses/1163856692079210498,2019-08-20 16:53:53
19444,"Genesee County, New York, United States",United States,New York,,-78.1780196,43.0102726,True,http://twitter.com/ChristineSmart6/statuses/1162817379723894784,2019-08-17 20:04:02
19544,"Wisconsin, United States",United States,Wisconsin,,-89.6884637,44.4308975,False,http://twitter.com/SpartySpudNBeet/statuses/1161682884899434497,2019-08-14 16:55:57
19680,"Minnesota, United States",United States,Minnesota,,-94.6113288,45.9896587,False,http://twitter.com/jstorlien/statuses/1158401218663895040,2019-08-05 15:35:47
19910,"Tennessee, United States",United States,Tennessee,,-86.2820081,35.7730076,False,http://twitter.com/StrayerScherer/statuses/1155836969873805317,2019-07-29 13:46:22
19910,"Cocke County, Tennessee, United States",United States,Tennessee,,-83.103978,35.9467093,True,http://twitter.com/StrayerScherer/statuses/1155836969873805317,2019-07-29 13:46:22
19970,"Erie County, Pennsylvania, United States",United States,Pennsylvania,,-80.14107733,42.18230345,True,http://twitter.com/lizbosak/statuses/1154085590507372551,2019-07-24 17:47:01
20111,"Chatham-Kent—Leamington, Chatham-Kent, Southwestern Ontario, Ontario, Canada",Canada,Ontario,,-82.4449351,42.14266285,True,http://twitter.com/CherylTrueman/statuses/1152616718818320384,2019-07-20 16:30:15
20172,"Canada Goose Crossing, Racine, Racine County, Wisconsin, 53403, United States",United States,Wisconsin,Racine,-87.8215127,42.6783757,True,http://twitter.com/potatonewstoday/statuses/1151643035727474693,2019-07-18 00:01:10
20365,Ōu,,,,10.0,51.0,False,http://twitter.com/ProMED_mail/statuses/1149671610468536320,2019-07-12 13:27:26
20365,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/ProMED_mail/statuses/1149671610468536320,2019-07-12 13:27:26
20558,Ōu,,,,10.0,51.0,False,http://twitter.com/olivergburke/statuses/1146313674149310466,2019-07-03 07:04:12
20558,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/olivergburke/statuses/1146313674149310466,2019-07-03 07:04:12
20707,"New Brunswick / Nouveau-Brunswick, Canada",Canada,New Brunswick / Nouveau-Brunswick,,-66.750183,46.500283,False,http://twitter.com/UkkoAg/statuses/1142881746662449153,2019-06-23 19:46:56
20747,বাংলাদেশ,বাংলাদেশ,,,90.2934413,24.4769288,False,http://twitter.com/Terra_Sphere/statuses/1141530805837033472,2019-06-20 02:18:47
21381,ኢትዮጵያ,ኢትዮጵያ,,,38.6521203,10.2116702,False,http://twitter.com/EurekaMag/statuses/1128849432781266944,2019-05-16 02:27:32
21466,Africa,,,,17.7578122,11.5024338,False,http://twitter.com/NjorogeAnnie/statuses/1127855299556249600,2019-05-13 08:37:12
21896,Ōu,,,,10.0,51.0,False,http://twitter.com/ProMED_mail/statuses/1118204351359672321,2019-04-16 17:27:47
21997,Cuba,Cuba,,,-80.8328748,23.0131338,False,http://twitter.com/EurekaMag/statuses/1113457513033195520,2019-04-03 15:05:32
22013,বাংলাদেশ,বাংলাদেশ,,,90.2934413,24.4769288,False,http://twitter.com/FarmingFutureBD/statuses/1113061423842713604,2019-04-02 12:51:37
23535,Bolivia,Bolivia,,,-64.9912286,-17.0568696,False,http://twitter.com/Argenpapa/statuses/1084447521013940225,2019-01-13 13:50:11
24777,"North Carolina, United States",United States,North Carolina,,-79.0392919,35.6729639,False,http://twitter.com/publicmediaNC/statuses/1049392995026526209,2018-10-08 20:16:01
24910,پاکستان,پاکستان,,,71.247499,30.3308401,False,http://twitter.com/Juniper_publish/statuses/1044862479346671616,2018-09-26 08:13:22
25100,United States,United States,,,-100.445882,39.7837304,False,http://twitter.com/ShamrockClubwis/statuses/1038461298265260034,2018-09-08 16:17:21
25100,Ōu,,,,10.0,51.0,False,http://twitter.com/ShamrockClubwis/statuses/1038461298265260034,2018-09-08 16:17:21
25100,Éire / Ireland,Éire / Ireland,,,-7.9794599,52.865196,False,http://twitter.com/ShamrockClubwis/statuses/1038461298265260034,2018-09-08 16:17:21
25394,"Cymru / Wales, United Kingdom",United Kingdom,Cymru / Wales,,-3.73893,52.2928116,False,http://twitter.com/aldwyn_clarke/statuses/1032722629315178498,2018-08-23 20:13:56
25410,"Simcoe County, Central Ontario, Ontario, Canada",Canada,Ontario,,-79.7038708,44.5014007,True,http://twitter.com/FruitVegMag/statuses/1032509059197558785,2018-08-23 06:05:17
25497,"Monroe County, Illinois, United States",United States,Illinois,,-90.1792484,38.2722313,True,http://twitter.com/MidAmericaCrop/statuses/1031549905322631175,2018-08-20 14:33:57
25548,"Simcoe County, Central Ontario, Ontario, Canada",Canada,Ontario,,-79.7038708,44.5014007,True,http://twitter.com/McCainProduce/statuses/1030488122277220355,2018-08-17 16:14:48
25550,"Monroe County, Michigan, United States",United States,Michigan,,-83.5135665,41.9153358,True,http://twitter.com/SpudmanMag/statuses/1030475841220890624,2018-08-17 15:26:00
25551,"Alliston, Kings County, Prince Edward Island, Canada",Canada,Prince Edward Island,,-62.62522891,46.0544878,True,http://twitter.com/Dennis_VanDyk/statuses/1030473181319102466,2018-08-17 15:15:26
25568,"Monroe County, Michigan, United States",United States,Michigan,,-83.5135665,41.9153358,True,http://twitter.com/VGN_News/statuses/1030186433535864832,2018-08-16 20:16:00
25600,"Wisconsin, United States",United States,Wisconsin,,-89.6884637,44.4308975,False,http://twitter.com/ajanegevens/statuses/1029820339323330561,2018-08-15 20:01:16
25633,"Illinois, United States",United States,Illinois,,-89.4337288,40.0796606,False,http://twitter.com/PlantDiagnostic/statuses/1029311915598721026,2018-08-14 10:20:59
